TT  PID  AT  CT  IO_D  WT  RT  TRT
102   141    73   29    0   0   -1   29
102   137    20   117    0   -35   -1   82
102   7    14   90    19   -2   0   88
102   38    52   185    0   -135   -1   50
102   2    4   98    0   0   0   98
129   69    94   31    0   4   4   35
135   81    113   6    0   16   16   22
138   72    101   27    0   10   -1   37
141   18    25   6    0   110   110   116
158   76    106   14    0   38   38   52
229   6    12   217    0   0   0   217
229   68    93   0    0   136   136   136
235   61    88   6    0   141   141   147
235   43    60   171    0   4   4   175
241   46    66   6    0   169   5   175
242   26    36   7    0   199   199   206
252   16    25   13    18   214   116   227
262   27    38   25    0   199   11   224
269   127    190   77    0   2   2   79
281   149    208   190    0   -117   -1   73
281   146    165   116    0   0   -1   116
281   148    196   202    0   -117   -1   85
281   139    60   77    0   144   -1   221
281   142    101   232    0   -52   -1   180
281   145    146   59    0   76   -1   135
281   140    66   36    0   179   -1   215
281   143    106   227    0   -52   -1   175
281   106    155   123    0   3   3   126
285   19    26   33    0   226   226   259
299   57    84   37    0   178   178   215
308   154    275   33    0   0   -1   33
308   86    120   170    0   18   130   188
309   3    7   130    0   172   0   302
344   98    141   52    0   151   21   203
346   52    78   123    0   145   0   268
354   105    152   285    0   -83   86   202
354   85    118   168    0   68   122   236
354   40    55   268    0   31   10   299
354   22    30   16    0   308   215   324
354   34    46   65    0   243   2   308
354   95    137   132    0   85   14   217
354   119    177   53    0   124   5   177
354   47    67   109    0   178   4   287
354   30    41   81    0   232   -1   313
354   138    32   238    0   84   -1   322
354   147    185   96    0   73   -1   169
354   75    104   104    0   146   146   250
354   120    179   249    0   -74   11   175
354   115    170   120    11   64   44   184
354   39    53   180    0   121   4   301
354   84    115   150    0   89   197   239
354   109    159   252    0   -57   -1   195
354   158    345   9    0   0   1   9
354   144    123   82    0   149   -1   231
354   136    9   261    0   84   93   345
354   62    88   242    0   24   40   266
354   59    86   285    0   -17   195   268
354   44    62   256    0   36   2   292
354   130    195   214    0   -55   -1   159
354   107    156   171    0   27   2   198
354   151    253   51    0   50   9   101
363   32    43   78    0   242   242   320
372   87    122   99    0   151   128   250
394   155    301   92    0   1   1   93
396   152    257   42    0   97   97   139
397   103    147   62    0   188   46   250
410   91    131   50    0   229   4   279
426   123    184   33    0   209   2   242
429   133    203   73    0   153   107   226
429   73    101   51    0   277   152   328
492   41    57   102    0   333   16   435
506   160    417   89    0   0   -1   89
506   161    418   88    0   0   -1   88
506   159    410   90    0   6   6   96
521   93    135   114    0   272   3   386
529   78    109   107    16   313   323   420
545   126    187   35    0   323   42   358
571   165    520   51    0   0   1   51
571   156    308   177    0   86   86   263
587   53    78   95    0   414   414   509
590   118    175   72    60   343   1   415
635   101    144   187    0   304   427   491
635   36    48   195    0   392   355   587
635   135    206   181    0   248   210   429
635   113    167   93    0   375   0   468
635   15    24   122    0   489   1   611
635   150    217   112    0   306   64   418
637   1    4   266    0   367   0   633
647   10    21   127    0   499   0   626
653   122    182   296    0   175   47   471
653   51    78   150    0   425   182   575
653   58    85   102    0   466   550   568
653   67    92   183    0   378   140   561
653   90    128   223    0   302   158   525
653   167    625   78    0   -50   4   28
653   50    75   240    0   338   -1   578
653   99    143   177    0   333   165   510
653   31    41   53    11   559   15   612
655   83    114   77    0   464   131   541
680   17    25   49    0   606   355   655
709   89    125   90    24   494   285   584
729   97    140   52    0   537   27   589
760   171    680   81    0   -1   -1   80
760   172    685   75    0   0   -1   75
760   163    429   13    0   318   -1   331
760   157    312   81    0   367   -1   448
760   5    11   272    0   477   0   749
760   117    173   253    0   334   4   587
760   153    262   46    0   452   134   498
760   169    651   102    0   7   7   109
769   45    63   70    47   636   0   706
796   55    79   71    0   646   492   717
808   96    140   132    0   536   14   668
821   48    70   105    0   646   517   751
843   168    645   58    0   140   115   198
843   56    82   214    0   547   24   761
843   175    758   167    0   -82   -1   85
843   77    108   211    0   524   307   735
843   35    48   104    0   691   0   795
843   102    146   66    0   631   55   697
843   129    194   194    0   455   -1   649
843   174    754   171    0   -82   -1   89
843   173    742   182    0   -81   1   101
843   164    513   141    0   189   1   330
843   166    529   126    0   188   48   314
843   65    92   92    0   659   21   751
846   177    792   55    0   -1   -1   54
846   82    113   228    0   505   462   733
846   23    30   197    0   619   542   816
846   176    784   62    0   0   1   62
846   162    423   148    0   275   83   423
891   180    865   26    0   0   -1   26
891   178    806   41    0   44   44   85
896   8    17   157    0   722   0   879
910   111    162   42    26   706   116   748
918   170    672   88    0   158   1   246
1034   42    57   236    0   741   73   977
1035   121    180   127    0   728   5   855
1041   181    884   157    0   0   -1   157
1041   179    848   191    0   2   2   193
1118   63    89   55    0   974   282   1029
1118   54    79   177    0   862   369   1039
1122   116    171   105    23   846   35   951
1147   112    165   231    0   751   57   982
1160   134    206   101    0   853   206   954
1165   70    97   160    0   908   177   1068
1179   187    1065   114    0   0   -1   114
1179   185    1060   203    0   -84   -1   119
1179   190    1119   145    0   -85   -1   60
1179   12    22   153    38   1004   407   1157
1179   183    1042   219    0   -82   1   137
1179   182    905   136    0   138   138   274
1264   189    1094   170    0   0   -1   170
1264   188    1079   184    0   1   1   185
1283   79    112   135    0   1036   46   1171
1299   195    1284   15    0   0   -1   15
1299   193    1233   65    0   1   1   66
1330   131    198   127    0   1005   184   1132
1357   192    1232   66    0   59   -1   125
1357   24    31   277    55   1049   251   1326
1357   199    1325   100    0   -68   -1   32
1357   197    1310   114    0   -67   -1   47
1357   186    1062   117    0   178   119   295
1380   4    10   217    0   1153   0   1370
1402   198    1318   107    0   -23   -1   84
1402   191    1201   181    0   20   1   201
1402   14    23   219    0   1160   550   1379
1410   74    101   141    0   1168   132   1309
1418   64    92   237    24   1089   4   1326
1425   110    160   86    0   1179   99   1265
1428   194    1274   25    0   129   128   154
1441   104    149   143    0   1149   246   1292
1506   33    43   160    0   1303   582   1463
1593   25    34   222    0   1337   6   1559
1620   132    201   174    0   1245   213   1419
1635   100    143   247    0   1245   27   1492
1636   92    132   127    57   1377   11   1504
1657   201    1469   188    0   0   1   188
1657   200    1422   229    0   6   6   235
1659   203    1571   87    0   1   1   88
1696   37    49   141    0   1506   7   1647
1722   88    124   270    0   1328   4   1598
1738   114    168   241    7   1329   57   1570
1741   125    185   217    0   1339   45   1556
1745   205    1664   80    0   1   1   81
1766   13    22   288    45   1456   7   1744
1774   29    41   213    0   1520   49   1733
1806   80    113   164    0   1529   1070   1693
1816   20    26   224    0   1566   287   1790
1822   94    135   289    0   1398   11   1687
1823   11    22   280    0   1521   0   1801
1823   71    100   266    0   1457   136   1723
1823   204    1573   85    0   165   86   250
1823   202    1493   164    0   166   1   330
1823   206    1666   78    0   79   79   157
1824   196    1303   121    0   400   1   521
1825   209    1759   66    0   0   -1   66
1825   211    1811   15    0   -1   -1   14
1825   212    1817   6    0   2   -1   8
1825   210    1809   16    0   0   1   16
1825   207    1745   78    0   2   1   80
1825   208    1753   71    0   1   1   72
1828   9    20   235    0   1573   0   1808
1847   66    92   168    0   1587   160   1755
1885   184    1051   211    0   623   1   834
1942   60    87   276    0   1579   25   1855
2055   108    157   233    0   1665   88   1898
2079   28    38   202    0   1839   895   2041
2087   21    29   265    0   1793   67   2058
2134   128    193   274    0   1667   208   1941
2158   124    184   290    0   1684   62   1974
2160   49    73   236    0   1851   9   2087
Processes: 212
Avg WT: 394.981,  Avg RT: 84.8774, Avg TRT: 528.278
Migration %: RTF:21.6981% MaxW: 150.472%
Work Steal % : 47.1698%
Forked Process % : 8.96226%
Killed process % : 18.3962%

Processors: 11 [3 FCFS, 4 SJF, 3 RR, 1EDF]
Processors Load
P1=1.36792%, P2=1.28399%, P3=1.22595%, P4=1.4965%, P5=1.45185%, P6=1.56168%, P7=1.4706%, P8=N/A, P9=N/A, P10=N/A, P11=0.297335%, 
Processors Util
P1=73.6538%, P2=69.4015%, P3=67.4361%, P4=81.3592%, P5=78.932%, P6=84.5745%, P7=79.1827%, P8=83.2681%, P9=94.1571%, P10=87.38%, P11=16.1965%, 
Avg Util: 73%
Percentage of processes completed before their expected deadline: 3.77358%
