0 1 3 0
3
4 10 100 10
30
2 1 2 10 2 (3,3),(9,5),
2 2 4 10 2 (2,4),(2,6),
2 3 13 10 2 (5,5),(6,7),
2 4 5 10 2 (5,5),(6,7),
2 5 2 10 2 (5,5),(6,7),
2 6 2 10 2 (5,5),(6,7),
3 7 8 10 2 (5,5),(6,7),
5 8 1 9 2 (5,5),(6,7),
5 9 1 1 2 (5,5),(6,7),
5 10 3 5 2 (5,5),(6,7),
5 11 4 7 2 (5,5),(6,7),
5 12 20 9 2 (5,5),(6,7),
5 13 2 10 2 (5,5),(6,7),
5 14 6 6 2 (5,5),(6,7),
6 15 3 8 2 (5,5),(6,7),
6 16 2 7 2 (5,5),(6,7),
6 17 1 3 2 (5,5),(6,7),
6 18 2 2 2 (5,5),(6,7),
6 19 2 7 2 (5,5),(6,7),
6 20 7 11 2 (5,5),(6,7),
6 21 2 8 2 (5,5),(6,7),
7 22 9 12 2 (5,5),(6,7),
7 23 1 6 2 (5,5),(6,7),
7 24 10 8 2 (5,5),(6,7),
7 25 2 7 2 (5,5),(6,7),
7 26 11 9 2 (5,5),(6,7),
8 27 2 4 2 (5,5),(6,7),
8 28 1 6 2 (5,5),(6,7),
8 29 2 3 2 (5,5),(6,7),
8 30 5 4 2 (5,5),(6,7),
3 2
9 30
