TT  PID  AT  CT  IO_D  WT  RT  TRT
17   2    3   14    0   0   0   14
44   3    4   40    0   0   0   40
47   7    8   3    0   36   0   39
49   27    41   5    0   3   3   8
140   88    120   20    0   0   -1   20
140   51    71   69    0   0   -1   69
142   122    17   125    0   0   -1   125
142   10    13   243    0   -114   -1   129
142   63    87   244    0   -189   -1   55
142   48    67   284    0   -209   -1   75
142   26    38   58    0   46   9   104
142   96    136   45    0   -39   -1   6
142   70    95   268    0   -221   45   47
142   54    74   150    0   -82   -1   68
142   65    89   193    0   -140   -1   53
142   73    101   209    0   -168   -1   41
142   57    77   235    0   -170   -1   65
142   67    92   264    0   -214   3   50
142   121    9   133    0   0   8   133
142   1    2   140    0   0   0   140
156   39    56   96    0   4   4   100
174   102    145   6    0   23   -1   29
203   29    44   154    0   5   5   159
210   68    92   83    0   35   18   118
215   47    64   12    0   139   31   151
233   18    27   169    0   37   51   206
233   9    12   199    0   22   0   221
233   36    52   196    0   -15   -1   181
233   28    44   229    0   -40   1   189
233   19    28   256    18   -51   14   205
233   129    182   286    0   -235   -1   51
233   131    190   169    0   -126   -1   43
233   132    204   155    0   -126   -1   29
233   126    152   91    0   -10   -1   81
233   127    166   77    0   -10   -1   67
233   130    184   284    0   -235   -1   49
233   124    63   87    0   83   83   170
264   93    131   55    0   78   -1   133
283   76    108   53    0   122   29   175
293   11    15   71    0   207   213   278
295   116    167   2    0   126   113   128
301   105    148   5    0   148   147   153
302   86    118   1    0   183   183   184
316   134    306   10    0   0   -1   10
316   37    53   262    0   1   1   263
332   42    59   167    0   106   -1   273
338   94    133   72    0   133   185   205
338   33    45   204    0   89   276   293
338   13    18   286    0   34   -1   320
338   95    134   49    0   155   130   204
338   16    23   178    0   137   15   315
338   59    80   80    18   178   168   258
338   123    50   100    0   188   93   288
341   35    49   25    25   267   166   292
382   4    4   93    0   285   0   378
385   31    45   28    0   312   15   340
390   89    121   21    20   248   181   269
398   61    85   282    0   31   -1   313
421   137    344   76    0   1   -1   77
421   80    110   179    56   132   72   311
421   62    85   115    0   221   231   336
421   72    98   163    0   160   -1   323
421   69    94   229    0   98   31   327
421   87    118   296    0   7   -1   303
421   40    57   250    0   114   264   364
421   79    110   75    0   236   57   311
421   24    35   75    0   311   48   386
421   74    104   281    0   36   3   317
421   136    332   215    0   -126   -1   89
421   138    346   75    0   0   -1   75
421   139    361   60    0   0   -1   60
421   140    373   47    0   1   -1   48
421   135    329   86    0   6   5   92
421   125    150   83    0   188   188   271
432   133    305   11    0   116   -1   127
432   119    173   169    0   90   17   259
494   101    142   132    0   220   18   352
525   6    6   105    0   414   2   519
534   58    78   98    0   358   217   456
589   117    167   228    0   194   113   422
599   85    117   116    0   366   269   482
615   25    35   106    0   474   18   580
640   38    54   65    22   521   328   586
653   108    153   52    0   448   52   500
673   148    489   184    0   0   -1   184
673   14    21   91    0   561   77   652
673   141    422   237    0   14   -1   251
673   142    424   54    0   195   -1   249
673   143    432   46    0   195   -1   241
673   146    476   196    0   1   -1   197
673   150    551   141    0   -19   -1   122
673   128    176   57    0   440   245   497
673   144    455   213    0   5   3   218
673   145    464   207    0   2   1   209
673   49    67   264    0   342   265   606
673   44    59   101    0   513   86   614
673   147    482   190    0   1   1   191
678   77    108   78    0   492   44   570
687   32    45   295    0   347   18   642
732   113    160   106    0   466   150   572
742   46    63   136    0   543   17   679
843   45    61   133    0   649   4   782
847   21    31   149    0   667   112   816
857   152    687   169    0   1   -1   170
857   153    693   164    0   0   -1   164
857   12    18   197    0   642   124   839
857   50    70   25    0   762   471   787
857   98    137   192    0   528   136   720
857   149    492   181    0   184   183   365
857   151    686   170    0   1   1   171
875   82    114   122    0   639   420   761
900   75    107   86    0   707   15   793
950   109    153   195    0   602   67   797
1021   81    111   278    65   632   84   910
1046   107    152   99    18   795   83   894
1071   20    28   110    0   933   115   1043
1072   99    140   149    0   783   94   932
1072   52    72   50    78   950   452   1000
1089   90    123   116    0   850   196   966
1161   158    927   234    0   0   -1   234
1161   159    929   232    0   0   -1   232
1161   157    919   241    0   1   1   242
1184   92    128   139    0   917   394   1056
1210   17    26   216    0   968   162   1184
1221   156    876   129    0   216   -1   345
1221   155    867   138    0   216   1   354
1221   154    709   148    0   364   148   512
1235   22    31   122    0   1082   111   1204
1260   112    158   112    0   990   77   1102
1285   66    90   142    0   1053   228   1195
1310   15    21   156    0   1133   92   1289
1328   161    973   206    0   149   -1   355
1328   162    987   192    0   149   -1   341
1328   160    956   222    0   150   1   372
1330   111    155   125    0   1050   279   1175
1351   56    77   216    0   1058   188   1274
1399   60    83   295    0   1021   470   1316
1437   165    1347   90    0   0   -1   90
1437   166    1351   87    0   -1   -1   86
1437   164    1344   93    0   0   1   93
1437   163    1336   99    0   2   2   101
1555   78    108   241    0   1206   130   1447
1568   120    173   284    0   1111   153   1395
1604   103    145   147    61   1312   216   1459
1607   55    76   167    0   1364   243   1531
1628   118    170   296    48   1162   2   1458
1678   30    44   172    0   1462   493   1634
1678   106    151   145    44   1382   82   1527
1723   43    59   271    81   1393   397   1664
1796   41    57   264    0   1475   272   1739
1867   104    147   210    0   1510   86   1720
1890   34    46   243    61   1601   274   1844
1915   114    163   153    0   1599   74   1752
1964   83    114   179    0   1671   181   1850
1969   115    164   251    0   1554   207   1805
1989   71    95   246    0   1648   238   1894
2014   100    141   256    0   1617   4   1873
2022   110    153   214    0   1655   83   1869
2040   91    126   264    0   1650   672   1914
2065   5    4   189    0   1872   0   2061
2090   64    87   262    0   1741   289   2003
2103   23    33   275    88   1795   7   2070
2115   8    10   266    0   1839   0   2105
2124   97    136   230    0   1758   389   1988
2127   84    115   247    77   1765   95   2012
2140   53    73   254    0   1813   540   2067
Processes: 166
Avg WT: 418.97,  Avg RT: 89.2892, Avg TRT: 571.157
Migration %: RTF:29.5181% MaxW: 156.024%
Work Steal % : 10.8434%
Forked Process % : 6.0241%
Killed process % : 16.8675%

Processors: 11 [2 FCFS, 3 SJF, 3 RR, 3EDF]
Processors Load
